"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"46421695","2020-06-09T01:58:21.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11212","366 SUTTER AVENUE","SUTTER AVENUE","MOTHER GASTON BOULEVARD","CHRISTOPHER AVENUE","MOTHER GASTON BOULEVARD","CHRISTOPHER AVENUE",,"BROOKLYN","SUTTER AVENUE",,"In Progress",,,,"16 BROOKLYN","3037600001","BROOKLYN","1010420","182589","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.667802684179335","-73.90566469196226","
,  
(40.667802684179335, -73.90566469196226)"
"46420221","2020-06-09T01:58:15.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11226","49 EAST   19 STREET","EAST   19 STREET","TENNIS COURT","ALBEMARLE ROAD","TENNIS COURT","ALBEMARLE ROAD",,"BROOKLYN","EAST   19 STREET",,"In Progress",,,,"14 BROOKLYN","3051000051","BROOKLYN","994827","175473","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.64830318910063","-73.96188411235836","
,  
(40.64830318910063, -73.96188411235836)"
"46417361","2020-06-09T01:57:25.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11226","65 EAST   19 STREET","EAST   19 STREET","TENNIS COURT","ALBEMARLE ROAD","TENNIS COURT","ALBEMARLE ROAD",,"BROOKLYN","EAST   19 STREET",,"In Progress",,,,"14 BROOKLYN","3051000091","BROOKLYN","994843","175359","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.647990264691344","-73.96182663286919","
,  
(40.647990264691344, -73.96182663286919)"
"46415999","2020-06-09T01:57:19.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10026","FREDERICK DOUGLASS BOULEVARD","FREDERICK DOUGLASS BOULEVARD","FREDERICK DOUGLASS BOULEVARD","WEST  117 STREET","FREDERICK DOUGLASS BOULEVARD","WEST  117 STREET",,,,,"In Progress",,,,"10 MANHATTAN",,"MANHATTAN","996743","232599","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.80509759117871","-73.95487345326087","
,  
(40.80509759117871, -73.95487345326087)"
"46417452","2020-06-09T01:57:15.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"10034","3784 10 AVENUE","10 AVENUE","WEST  202 STREET","WEST  203 STREET","WEST  202 STREET","WEST  203 STREET",,"NEW YORK","10 AVENUE",,"In Progress",,,,"12 MANHATTAN","1022160001","MANHATTAN","1006055","253123","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.861411961254646","-73.92117044356031","
,  
(40.861411961254646, -73.92117044356031)"
"46418850","2020-06-09T01:55:54.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10032","2224 AMSTERDAM AVENUE","AMSTERDAM AVENUE","WEST  170 STREET","EDGECOMBE AVENUE","WEST  170 STREET","EDGECOMBE AVENUE",,"NEW YORK","AMSTERDAM AVENUE",,"In Progress",,,,"12 MANHATTAN","1021270048","MANHATTAN","1001998","245806","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.84133805997194","-73.93585669640473","
,  
(40.84133805997194, -73.93585669640473)"
"46417387","2020-06-09T01:54:12.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10463","2907 KINGSBRIDGE TERRACE","KINGSBRIDGE TERRACE","WEST  229 STREET","WEST  230 STREET","WEST  229 STREET","WEST  230 STREET",,"BRONX","KINGSBRIDGE TERRACE",,"In Progress",,,,"08 BRONX","2032560144","BRONX","1011211","257948","PHONE","Unspecified","BRONX",,,,,,,,"40.87464086738497","-73.90251104468575","
,  
(40.87464086738497, -73.90251104468575)"
"46422929","2020-06-09T01:53:43.000",,"NYPD","New York City Police Department","Illegal Fireworks","N/A","Residential Building/House","10032","551 WEST  170 STREET","WEST  170 STREET","AUDUBON AVENUE","ST NICHOLAS AVENUE","AUDUBON AVENUE","ST NICHOLAS AVENUE",,"NEW YORK","WEST  170 STREET",,"In Progress",,,,"12 MANHATTAN","1021270022","MANHATTAN","1001454","245984","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.84182769447864","-73.9378223173734","
,  
(40.84182769447864, -73.9378223173734)"
"46421642","2020-06-09T01:52:12.000","2020-06-09T02:02:05.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Store/Commercial","10027","31 WEST  128 STREET","WEST  128 STREET","5 AVENUE","LENOX AVENUE","5 AVENUE","LENOX AVENUE",,"NEW YORK","WEST  128 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-06-09T02:02:00.000","10 MANHATTAN","1017260023","MANHATTAN","1000307","233959","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.808824656646316","-73.94199651345413","
,  
(40.808824656646316, -73.94199651345413)"
"46421482","2020-06-09T01:51:49.000",,"DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","1-2 Family Dwelling","10472","1071 STRATFORD AVENUE","STRATFORD AVENUE","BRUCKNER EXPWY WB EN MANOR AVE","WATSON AVENUE","BRUCKNER EXPWY WB EN MANOR AVE","WATSON AVENUE",,"BRONX","STRATFORD AVENUE",,"In Progress",,,,"09 BRONX","2037170036","BRONX","1018925","240148","MOBILE","Unspecified","BRONX",,,,,,,,"40.82575825267107","-73.87470989152163","
,  
(40.82575825267107, -73.87470989152163)"
"46420895","2020-06-09T01:51:26.000","2020-06-09T01:58:22.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10012","104 MACDOUGAL STREET","MACDOUGAL STREET","BLEECKER STREET","MINETTA LANE","BLEECKER STREET","MINETTA LANE",,"NEW YORK","MAC DOUGAL STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-06-09T05:58:24.000","02 MANHATTAN","1005400001","MANHATTAN","983976","205013","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.72939000611557","-74.00098860367115","
,  
(40.72939000611557, -74.00098860367115)"
"46421671","2020-06-09T01:51:15.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11214","2005 81 STREET","81 STREET","20 AVENUE","21 AVENUE","20 AVENUE","21 AVENUE",,"BROOKLYN","81 STREET",,"In Progress",,,,"11 BROOKLYN","3062870001","BROOKLYN","985665","160501","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.607214403443045","-73.99490396283261","
,  
(40.607214403443045, -73.99490396283261)"
"46421687","2020-06-09T01:51:02.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"11207","330 HINSDALE STREET","HINSDALE STREET","BLAKE AVENUE","DUMONT AVENUE","BLAKE AVENUE","DUMONT AVENUE",,"BROOKLYN","HINSDALE STREET",,"In Progress",,,,"05 BROOKLYN","3037837501","BROOKLYN","1012157","182240","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.666839452694305","-73.89940475760122","
,  
(40.666839452694305, -73.89940475760122)"
"46423114","2020-06-09T01:50:42.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10032","529 WEST  170 STREET","WEST  170 STREET","AMSTERDAM AVENUE","AUDUBON AVENUE","AMSTERDAM AVENUE","AUDUBON AVENUE",,"NEW YORK","WEST  170 STREET",,"In Progress",,,,"12 MANHATTAN",,"MANHATTAN","1001691","245853","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.841467672902006","-73.93696610692875","
,  
(40.841467672902006, -73.93696610692875)"
"46418730","2020-06-09T01:50:22.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11212","145 EAST   93 STREET","EAST   93 STREET","RUTLAND ROAD","WINTHROP STREET","RUTLAND ROAD","WINTHROP STREET",,"BROOKLYN","EAST   93 STREET",,"In Progress",,,,"17 BROOKLYN","3046120058","BROOKLYN","1004794","180314","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.661573158311974","-73.9259517218993","
,  
(40.661573158311974, -73.9259517218993)"
"46413125","2020-06-09T01:50:09.000","2020-06-09T01:55:14.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"10031","BROADWAY","BROADWAY","BROADWAY","WEST  147 STREET","BROADWAY","WEST  147 STREET",,,,,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-06-09T05:55:19.000","09 MANHATTAN",,"MANHATTAN","998224","240845","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.827728327584346","-73.94950669607618","
,  
(40.827728327584346, -73.94950669607618)"
"46417358","2020-06-09T01:50:01.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10463","2899 KINGSBRIDGE TERRACE","KINGSBRIDGE TERRACE","WEST  229 STREET","WEST  230 STREET","WEST  229 STREET","WEST  230 STREET",,"BRONX","KINGSBRIDGE TERRACE",,"In Progress",,,,"08 BRONX","2032560150","BRONX","1011204","257925","PHONE","Unspecified","BRONX",,,,,,,,"40.87457776088476","-73.90253644867373","
,  
(40.87457776088476, -73.90253644867373)"
"46423125","2020-06-09T01:49:47.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","11213","947 ST MARKS AVENUE","ST MARKS AVENUE","KINGSTON AVENUE","ALBANY AVENUE","KINGSTON AVENUE","ALBANY AVENUE",,"BROOKLYN","ST MARKS AVENUE",,"In Progress",,,,"08 BROOKLYN","3012230066","BROOKLYN","1000865","185083","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.674671241826985","-73.94010155206443","
,  
(40.674671241826985, -73.94010155206443)"
"46421418","2020-06-09T01:49:18.000",,"NYPD","New York City Police Department","Non-Emergency Police Matter","Social Distancing","Residential Building/House","10002","410 GRAND STREET","GRAND STREET","CLINTON STREET","ATTORNEY STREET","CLINTON STREET","ATTORNEY STREET",,"NEW YORK","GRAND STREET",,"In Progress",,,,"03 MANHATTAN","1003410058","MANHATTAN","987973","200104","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.7159152093453","-73.98656997303071","
,  
(40.7159152093453, -73.98656997303071)"
"46421596","2020-06-09T01:49:04.000",,"NYPD","New York City Police Department","Illegal Parking","Double Parked Blocking Traffic","Street/Sidewalk","10040","ELLWOOD STREET","ELLWOOD STREET","ELLWOOD STREET","HILLSIDE AVENUE","ELLWOOD STREET","HILLSIDE AVENUE",,,,,"In Progress",,,,"12 MANHATTAN",,"MANHATTAN","1004270","252247","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85901183402259","-73.92762619889578","
,  
(40.85901183402259, -73.92762619889578)"
"46415130","2020-06-09T01:48:53.000","2020-06-09T01:55:56.000","NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10463","2907 KINGSBRIDGE TERRACE","KINGSBRIDGE TERRACE","WEST  229 STREET","WEST  230 STREET","WEST  229 STREET","WEST  230 STREET",,"BRONX","KINGSBRIDGE TERRACE",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2020-06-09T05:55:59.000","08 BRONX","2032560144","BRONX","1011211","257948","PHONE","Unspecified","BRONX",,,,,,,,"40.87464086738497","-73.90251104468575","
,  
(40.87464086738497, -73.90251104468575)"
"46414581","2020-06-09T01:48:39.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10460","878 EAST  176 STREET","EAST  176 STREET","MOHEGAN AVENUE","WATERLOO PLACE","MOHEGAN AVENUE","WATERLOO PLACE",,"BRONX","EAST  176 STREET",,"In Progress",,,,"06 BRONX","2029580050","BRONX","1015376","245653","ONLINE","Unspecified","BRONX",,,,,,,,"40.84088109907024","-73.88750782488219","
,  
(40.84088109907024, -73.88750782488219)"
"46419478","2020-06-09T01:48:17.000","2020-06-09T01:48:47.000","NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10457","BROOK AVENUE","BROOK AVENUE","BROOK AVENUE","EAST  171 STREET","BROOK AVENUE","EAST  171 STREET",,,,,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-06-09T05:48:48.000","03 BRONX",,"BRONX","1010474","244694","ONLINE","Unspecified","BRONX",,,,,,,,"40.83826484237323","-73.90522783028261","
,  
(40.83826484237323, -73.90522783028261)"
"46414588","2020-06-09T01:48:16.000","2020-06-09T02:00:11.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11369","31-19 87 STREET","87 STREET","31 AVENUE","32 AVENUE","31 AVENUE","32 AVENUE",,"EAST ELMHURST","87 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-06-09T02:00:00.000","03 QUEENS","4013990049","QUEENS","1017135","215929","PHONE","Unspecified","QUEENS",,,,,,,,"40.759290543062605","-73.88129622037835","
,  
(40.759290543062605, -73.88129622037835)"
"46415170","2020-06-09T01:47:49.000","2020-06-09T01:56:48.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","11201","70 WASHINGTON STREET","WASHINGTON STREET","FRONT STREET","YORK STREET","FRONT STREET","YORK STREET",,"BROOKLYN","WASHINGTON STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-06-09T05:56:49.000","02 BROOKLYN","3000457501","BROOKLYN","987118","195100","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.70218073336258","-73.98965635726152","
,  
(40.70218073336258, -73.98965635726152)"
"46413770","2020-06-09T01:47:27.000","2020-06-09T01:49:53.000","NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10460","1680 CROTONA PARK EAST","CROTONA PARK EAST","EAST  173 STREET","BEND","EAST  173 STREET","BEND",,"BRONX","CROTONA PARK EAST",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-06-09T05:49:53.000","03 BRONX","2029400006","BRONX","1014748","244365","PHONE","Unspecified","BRONX",,,,,,,,"40.837348107539924","-73.88978332812978","
,  
(40.837348107539924, -73.88978332812978)"
"46416590","2020-06-09T01:46:42.000","2020-06-09T02:00:35.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10032","554 WEST  173 STREET","WEST  173 STREET","AUDUBON AVENUE","ST NICHOLAS AVENUE","AUDUBON AVENUE","ST NICHOLAS AVENUE",,"NEW YORK","WEST  173 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-06-09T02:00:00.000","12 MANHATTAN","1021290116","MANHATTAN","1001814","246669","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.84370710995945","-73.93651943294881","
,  
(40.84370710995945, -73.93651943294881)"
"46417364","2020-06-09T01:46:05.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11355","42-43 157 STREET","157 STREET","SANFORD AVENUE","43 AVENUE","SANFORD AVENUE","43 AVENUE",,"FLUSHING","157 STREET",,"In Progress",,,,"07 QUEENS","4053880011","QUEENS","1037244","216305","PHONE","Unspecified","QUEENS",,,,,,,,"40.76022490237493","-73.80870672294297","
,  
(40.76022490237493, -73.80870672294297)"
"46420188","2020-06-09T01:45:48.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10468","3065 GRAND CONCOURSE","GRAND CONCOURSE","EAST  203 STREET","EAST  204 STREET","EAST  203 STREET","EAST  204 STREET",,"BRONX","GRAND CONCOURSE",,"In Progress",,,,"07 BRONX","2033100040","BRONX","1015593","257845","MOBILE","Unspecified","BRONX",,,,,,,,"40.874343691169194","-73.88666655941972","
,  
(40.874343691169194, -73.88666655941972)"
"46423135","2020-06-09T01:45:47.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10040","213 BENNETT AVENUE","BENNETT AVENUE","WEST  190 STREET","WEST  192 STREET","WEST  190 STREET","WEST  192 STREET",,"NEW YORK","BENNETT AVENUE",,"In Progress",,,,"12 MANHATTAN","1021800530","MANHATTAN","1002686","251658","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85739865602053","-73.93335409536195","
,  
(40.85739865602053, -73.93335409536195)"
"46421727","2020-06-09T01:45:29.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"11385","70 ONDERDONK AVENUE","ONDERDONK AVENUE","ONDERDONK AVENUE","DEAD END","ONDERDONK AVENUE","DEAD END",,"RIDGEWOOD","ONDERDONK AVENUE",,"In Progress",,,,"05 QUEENS","4034100150","QUEENS","1005936","198899","PHONE","Unspecified","QUEENS",,,,,,,,"40.7125819784535","-73.92177570826071","
,  
(40.7125819784535, -73.92177570826071)"
"46420236","2020-06-09T01:44:19.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11233","194 HOWARD AVENUE","HOWARD AVENUE","BAINBRIDGE STREET","CHAUNCEY STREET","BAINBRIDGE STREET","CHAUNCEY STREET",,"BROOKLYN","HOWARD AVENUE",,"In Progress",,,,"03 BROOKLYN","3015080050","BROOKLYN","1006504","187643","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.68168548023402","-73.91976404758536","
,  
(40.68168548023402, -73.91976404758536)"
"46414518","2020-06-09T01:43:59.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11207","172 SCHAEFER STREET","SCHAEFER STREET","CENTRAL AVENUE","WILSON AVENUE","CENTRAL AVENUE","WILSON AVENUE",,"BROOKLYN","SCHAEFER STREET",,"In Progress",,,,"04 BROOKLYN","3034290015","BROOKLYN","1009722","190432","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.689331967934315","-73.90815113498921","
,  
(40.689331967934315, -73.90815113498921)"
"46417973","2020-06-09T01:43:42.000","2020-06-09T01:55:10.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11212","366 SUTTER AVENUE","SUTTER AVENUE","MOTHER GASTON BOULEVARD","CHRISTOPHER AVENUE","MOTHER GASTON BOULEVARD","CHRISTOPHER AVENUE",,"BROOKLYN","SUTTER AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-06-09T05:55:14.000","16 BROOKLYN","3037600001","BROOKLYN","1010420","182589","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.667802684179335","-73.90566469196226","
,  
(40.667802684179335, -73.90566469196226)"
"46415979","2020-06-09T01:42:46.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10009","EAST    9 STREET","EAST    9 STREET","AVENUE B","AVENUE C","AVENUE B","AVENUE C",,,,,"In Progress",,,,"Unspecified MANHATTAN",,"MANHATTAN",,,"PHONE","Unspecified","MANHATTAN",,,,,,,,,,
"46423174","2020-06-09T01:42:23.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11206","123 MELROSE STREET","MELROSE STREET","STANWIX STREET","EVERGREEN AVENUE","STANWIX STREET","EVERGREEN AVENUE",,"BROOKLYN","MELROSE STREET",,"In Progress",,,,"04 BROOKLYN","3031520048","BROOKLYN","1002826","194147","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.69954593916354","-73.93300699718094","
,  
(40.69954593916354, -73.93300699718094)"
"46420215","2020-06-09T01:41:45.000","2020-06-09T01:48:31.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking",,"10456","EAST  169 STREET","EAST  169 STREET","BOSTON ROAD","BOSTON ROAD","BOSTON ROAD","BOSTON ROAD",,,,,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-06-09T05:48:33.000","Unspecified BRONX",,"BRONX",,,"PHONE","Unspecified","BRONX",,,,,,,,,,
"46414465","2020-06-09T01:41:17.000","2020-06-09T02:01:55.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant",,"11204","55 AVENUE O","AVENUE O","WEST   10 STREET","WEST    9 STREET","WEST   10 STREET","WEST    9 STREET",,"BROOKLYN","AVENUE O",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-06-09T02:01:00.000","11 BROOKLYN","3065750031","BROOKLYN","988921","161630","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.61031215882353","-73.9831768944931","
,  
(40.61031215882353, -73.9831768944931)"
"46422100","2020-06-09T01:40:33.000","2020-06-09T01:48:13.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10460","1700 CROTONA PARK EAST","CROTONA PARK EAST","EAST  173 STREET","BEND","EAST  173 STREET","BEND",,"BRONX","CROTONA PARK EAST",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-06-09T05:48:15.000","03 BRONX","2029400011","BRONX","1014855","244448","MOBILE","Unspecified","BRONX",,,,,,,,"40.83757554812452","-73.88939626268355","
,  
(40.83757554812452, -73.88939626268355)"
